# Time-averaged data for fix msdDump
# TimeStep c_msdID[4]
525000 0
525015 0.171404
525030 0.397741
525045 0.604706
525060 0.801889
525075 0.973891
525090 1.12886
525105 1.27746
525120 1.41208
525135 1.5351
525150 1.65477
525165 1.77035
525180 1.87992
525195 1.98344
525210 2.08454
525225 2.18319
525240 2.27614
525255 2.38156
525270 2.4803
525285 2.57505
525300 2.6745
525315 2.77352
525330 2.87008
525345 2.96887
525360 3.07748
525375 3.18341
525390 3.28045
525405 3.37094
525420 3.46988
525435 3.57319
525450 3.66906
525465 3.75276
525480 3.83947
525495 3.92586
525510 4.012
525525 4.10319
525540 4.18341
525555 4.26991
525570 4.36198
525585 4.45101
525600 4.53046
525615 4.61649
525630 4.70468
525645 4.79336
525660 4.88796
525675 4.98096
525690 5.07013
525705 5.15055
525720 5.23554
525735 5.32984
525750 5.41516
525765 5.49227
525780 5.57606
525795 5.66726
525810 5.76478
525825 5.86867
525840 5.96572
525855 6.0578
525870 6.13318
525885 6.20697
525900 6.28048
525915 6.36321
525930 6.44732
525945 6.54577
525960 6.6369
525975 6.7203
525990 6.80176
526005 6.88387
526020 6.98138
526035 7.08292
526050 7.18731
526065 7.28365
526080 7.37255
526095 7.46445
526110 7.54913
526125 7.65431
526140 7.74544
526155 7.84075
526170 7.94835
526185 8.0448
526200 8.13344
526215 8.2299
526230 8.3477
526245 8.44575
526260 8.53599
526275 8.62979
526290 8.72501
526305 8.81188
526320 8.89792
526335 9.00347
526350 9.09376
526365 9.17753
526380 9.24508
526395 9.32496
526410 9.41463
526425 9.53224
526440 9.65489
526455 9.76982
526470 9.86572
526485 9.9537
526500 10.0491
526515 10.14
526530 10.2295
526545 10.3293
526560 10.4281
526575 10.5092
526590 10.5911
526605 10.6829
526620 10.7637
526635 10.8479
526650 10.9434
526665 11.0467
526680 11.1385
526695 11.2126
526710 11.2812
526725 11.3464
526740 11.4214
526755 11.4995
526770 11.5776
526785 11.6639
526800 11.7579
526815 11.8457
526830 11.9307
526845 12.0177
526860 12.0941
526875 12.1871
526890 12.2927
526905 12.3947
526920 12.4935
526935 12.5887
526950 12.6685
526965 12.7599
526980 12.8346
526995 12.935
527010 13.0464
527025 13.153
527040 13.2306
527055 13.3121
527070 13.4108
527085 13.5031
527100 13.6191
527115 13.7134
527130 13.7869
527145 13.8578
527160 13.9563
527175 14.0479
527190 14.1429
527205 14.2268
527220 14.3138
527235 14.4017
527250 14.4916
527265 14.5717
527280 14.6446
527295 14.7155
527310 14.774
527325 14.8471
527340 14.9327
527355 15.0044
527370 15.0988
527385 15.1909
527400 15.2986
527415 15.41
527430 15.5142
527445 15.6157
527460 15.7067
527475 15.8039
527490 15.9097
527505 16.0111
527520 16.0926
527535 16.1836
527550 16.2644
527565 16.3432
527580 16.416
527595 16.5166
527610 16.6178
527625 16.7037
527640 16.7938
527655 16.9116
527670 17.0216
527685 17.1361
527700 17.2306
527715 17.3155
527730 17.4072
527745 17.4787
527760 17.5385
527775 17.6127
527790 17.6842
527805 17.7749
527820 17.8599
527835 17.9614
527850 18.0416
527865 18.123
527880 18.2151
527895 18.292
527910 18.3902
527925 18.4785
527940 18.5586
527955 18.656
527970 18.746
527985 18.8114
528000 18.8923
528015 18.9625
528030 19.0228
528045 19.0799
528060 19.1646
528075 19.2205
528090 19.3119
528105 19.3971
528120 19.4855
528135 19.593
528150 19.6846
528165 19.7778
528180 19.8674
528195 19.9566
528210 20.0384
528225 20.1311
528240 20.2414
528255 20.3292
528270 20.412
528285 20.4989
528300 20.5956
528315 20.6811
528330 20.7762
528345 20.8488
528360 20.9229
528375 21.022
528390 21.1022
528405 21.192
528420 21.2653
528435 21.3207
528450 21.411
528465 21.516
528480 21.5945
528495 21.6691
528510 21.7644
528525 21.8291
528540 21.8936
528555 21.9631
528570 22.0447
528585 22.1557
528600 22.2645
528615 22.353
528630 22.4346
528645 22.5405
528660 22.6437
528675 22.7093
528690 22.7662
528705 22.8474
528720 22.9496
528735 23.0225
528750 23.1067
528765 23.1867
528780 23.286
528795 23.4033
528810 23.5364
528825 23.6591
528840 23.7509
528855 23.8281
528870 23.8921
528885 23.9738
528900 24.0611
528915 24.1751
528930 24.2887
528945 24.3679
528960 24.4853
528975 24.5962
528990 24.7054
529005 24.7814
529020 24.843
529035 24.9129
529050 25.0214
529065 25.1264
529080 25.2042
529095 25.2678
529110 25.3682
529125 25.4762
529140 25.5675
529155 25.6262
529170 25.689
529185 25.7662
529200 25.861
529215 25.9563
529230 26.0407
529245 26.1328
529260 26.236
529275 26.3293
529290 26.4245
529305 26.5154
529320 26.6127
529335 26.6986
529350 26.7908
529365 26.8785
529380 26.9537
529395 27.0055
529410 27.0821
529425 27.1845
529440 27.2903
529455 27.3882
529470 27.4426
529485 27.5254
529500 27.6109
529515 27.7089
529530 27.777
529545 27.8701
529560 27.9837
529575 28.0597
529590 28.1425
529605 28.2407
529620 28.3268
529635 28.4068
529650 28.5151
529665 28.6122
529680 28.6836
529695 28.7839
529710 28.8774
529725 28.9893
529740 29.0912
529755 29.1806
529770 29.2814
529785 29.3658
529800 29.4322
529815 29.4922
529830 29.561
529845 29.6101
529860 29.6838
529875 29.7729
529890 29.8488
529905 29.9346
529920 30.0138
529935 30.1193
529950 30.1926
529965 30.2758
529980 30.3849
529995 30.4558
530010 30.5401
530025 30.6512
530040 30.7118
530055 30.7679
530070 30.8294
530085 30.8878
530100 30.9679
530115 31.0726
530130 31.1837
530145 31.2672
530160 31.3659
530175 31.4654
530190 31.5884
530205 31.67
530220 31.7314
530235 31.8201
530250 31.8803
530265 31.9664
530280 32.062
530295 32.1564
530310 32.2388
530325 32.3084
530340 32.3971
530355 32.4781
530370 32.5782
530385 32.6795
530400 32.7555
530415 32.8197
530430 32.9116
530445 33.0152
530460 33.0889
530475 33.1685
530490 33.2435
530505 33.3375
530520 33.4072
530535 33.5053
530550 33.5857
530565 33.6758
530580 33.7638
530595 33.8608
530610 33.9259
530625 34.0006
530640 34.0807
530655 34.1494
530670 34.2354
530685 34.3202
530700 34.3757
530715 34.4821
530730 34.5868
530745 34.6848
530760 34.7871
530775 34.8858
530790 35.0083
530805 35.0752
530820 35.1798
530835 35.2767
530850 35.3473
530865 35.3957
530880 35.4547
530895 35.5204
530910 35.5523
530925 35.6411
530940 35.767
530955 35.8506
530970 35.9179
530985 35.9726
531000 36.0373
531015 36.0879
531030 36.1414
531045 36.2089
531060 36.2896
531075 36.4042
531090 36.501
531105 36.5939
531120 36.691
531135 36.789
531150 36.8981
531165 37.0034
