# Time-averaged data for fix msdDump
# TimeStep c_msdID[4]
75000 0
75015 0.0489893
75030 0.0932172
75045 0.125118
75060 0.154766
75075 0.180372
75090 0.198652
75105 0.213773
75120 0.22298
75135 0.228421
75150 0.228814
75165 0.226896
75180 0.223007
75195 0.217011
75210 0.208587
75225 0.200948
75240 0.194832
75255 0.189966
75270 0.18618
75285 0.183529
75300 0.181874
75315 0.180893
75330 0.181975
75345 0.183593
75360 0.185507
75375 0.186255
75390 0.187504
75405 0.189752
75420 0.190583
75435 0.190783
75450 0.190003
75465 0.18817
75480 0.187053
75495 0.186502
75510 0.186594
75525 0.187031
75540 0.186343
75555 0.185305
75570 0.184099
75585 0.184487
75600 0.184823
75615 0.183747
75630 0.183663
75645 0.183964
75660 0.184359
75675 0.184127
75690 0.184728
75705 0.186277
75720 0.187932
75735 0.187546
75750 0.1857
75765 0.185226
75780 0.184947
75795 0.185266
75810 0.185495
75825 0.186291
75840 0.187685
75855 0.188604
75870 0.188928
75885 0.188211
75900 0.186201
75915 0.184678
75930 0.184616
75945 0.185363
75960 0.186154
75975 0.187082
75990 0.188261
76005 0.189984
76020 0.190813
76035 0.191028
76050 0.19173
76065 0.193188
76080 0.19357
76095 0.193712
76110 0.193265
76125 0.192759
76140 0.193327
76155 0.19402
76170 0.194709
76185 0.194239
76200 0.193093
76215 0.191726
76230 0.190525
76245 0.189608
76260 0.189575
76275 0.190139
76290 0.190287
76305 0.191126
76320 0.19074
76335 0.191062
76350 0.191095
76365 0.190841
76380 0.189626
76395 0.188152
76410 0.187804
76425 0.188133
76440 0.187728
76455 0.188074
76470 0.187575
76485 0.187497
76500 0.188096
76515 0.189396
76530 0.191226
76545 0.192488
76560 0.193378
76575 0.193757
76590 0.192184
76605 0.191264
76620 0.190838
76635 0.19025
76650 0.190175
76665 0.189627
76680 0.189927
76695 0.190358
76710 0.191336
76725 0.191614
76740 0.191339
76755 0.191292
76770 0.190716
76785 0.190603
76800 0.191018
76815 0.189826
76830 0.188859
76845 0.189069
76860 0.189388
76875 0.19017
76890 0.191509
76905 0.192196
76920 0.193283
76935 0.194973
76950 0.196624
76965 0.197553
76980 0.197672
76995 0.198011
77010 0.197405
77025 0.19723
77040 0.196668
77055 0.196617
77070 0.196847
77085 0.197139
77100 0.197974
77115 0.198234
77130 0.19768
77145 0.197376
77160 0.197643
77175 0.197608
77190 0.197091
77205 0.195846
77220 0.196204
77235 0.196364
77250 0.196829
77265 0.196542
77280 0.194022
77295 0.193043
77310 0.191128
77325 0.189609
77340 0.188033
77355 0.186393
77370 0.185525
77385 0.185391
77400 0.185358
77415 0.184906
77430 0.185076
77445 0.185279
77460 0.185861
77475 0.186334
77490 0.186569
77505 0.187321
77520 0.187729
77535 0.188013
77550 0.18852
77565 0.18804
77580 0.187569
77595 0.187442
77610 0.18821
77625 0.189561
77640 0.190147
77655 0.191802
77670 0.192343
77685 0.193784
77700 0.193505
77715 0.19371
77730 0.193302
77745 0.192602
77760 0.192593
77775 0.192295
77790 0.192271
77805 0.192692
77820 0.19334
77835 0.194821
77850 0.19603
77865 0.19547
77880 0.194909
77895 0.195976
77910 0.196118
