# Time-averaged data for fix msdDump
# TimeStep c_msdID[4]
405000 0
405015 0.133084
405030 0.276293
405045 0.389193
405060 0.495231
405075 0.584795
405090 0.666182
405105 0.733944
405120 0.788293
405135 0.837255
405150 0.876695
405165 0.907663
405180 0.931293
405195 0.955823
405210 0.974295
405225 0.987531
405240 0.997487
405255 1.00262
405270 1.00842
405285 1.01454
405300 1.01494
405315 1.01945
405330 1.02563
405345 1.03078
405360 1.03276
405375 1.03304
405390 1.03373
405405 1.03576
405420 1.03454
405435 1.02919
405450 1.02744
405465 1.02424
405480 1.01869
405495 1.01806
405510 1.01867
405525 1.01846
405540 1.01563
405555 1.01442
405570 1.01594
405585 1.01779
405600 1.01923
405615 1.01611
405630 1.018
405645 1.01622
405660 1.01664
405675 1.01776
405690 1.0101
405705 1.00447
405720 1.00216
405735 1.00624
405750 1.01451
405765 1.01968
405780 1.02475
405795 1.03011
405810 1.0303
405825 1.0323
405840 1.03699
405855 1.03832
405870 1.03863
405885 1.03912
405900 1.03538
405915 1.02782
405930 1.02171
405945 1.01753
405960 1.01589
405975 1.01853
405990 1.02365
406005 1.02704
406020 1.03013
406035 1.03079
406050 1.02976
406065 1.02512
406080 1.017
406095 1.01603
406110 1.01982
406125 1.01963
406140 1.02063
406155 1.02221
406170 1.02206
406185 1.02348
406200 1.02932
406215 1.03061
406230 1.03448
406245 1.04368
406260 1.05215
406275 1.05663
406290 1.06222
406305 1.06996
406320 1.07543
406335 1.08294
406350 1.08237
406365 1.07738
406380 1.07214
406395 1.06584
406410 1.06337
406425 1.06222
406440 1.0571
406455 1.05155
406470 1.04626
406485 1.04252
406500 1.04192
406515 1.0422
406530 1.04047
406545 1.0456
406560 1.0468
406575 1.05099
406590 1.05423
406605 1.05982
406620 1.05918
406635 1.05891
406650 1.06277
406665 1.06275
406680 1.06046
406695 1.05691
406710 1.05506
406725 1.04931
406740 1.0465
406755 1.04826
406770 1.04729
406785 1.04187
406800 1.04452
406815 1.04813
406830 1.0516
406845 1.05197
406860 1.05509
406875 1.05523
406890 1.05874
406905 1.06411
406920 1.07244
406935 1.0745
406950 1.07337
406965 1.07633
406980 1.0813
406995 1.0816
407010 1.08422
407025 1.0881
407040 1.08497
407055 1.0795
407070 1.07725
407085 1.07676
407100 1.07765
407115 1.08286
407130 1.08687
407145 1.08942
407160 1.0934
407175 1.09653
407190 1.09505
407205 1.09128
407220 1.08782
407235 1.08668
407250 1.08542
407265 1.08542
407280 1.08643
407295 1.0897
407310 1.10026
407325 1.10998
407340 1.11626
407355 1.11778
407370 1.11312
407385 1.11249
407400 1.10654
407415 1.10364
407430 1.10495
407445 1.10508
407460 1.1039
407475 1.10484
407490 1.10919
407505 1.1083
407520 1.10424
407535 1.10191
407550 1.09647
407565 1.08876
407580 1.08905
407595 1.08748
407610 1.08507
407625 1.07869
407640 1.07836
407655 1.07996
407670 1.08158
407685 1.08583
407700 1.08596
407715 1.08617
407730 1.08875
407745 1.09173
407760 1.09791
407775 1.10085
407790 1.10379
407805 1.11055
407820 1.11467
407835 1.11519
407850 1.11228
407865 1.10965
407880 1.1113
407895 1.11134
407910 1.11213
407925 1.10993
407940 1.11673
407955 1.12296
407970 1.12906
407985 1.12723
408000 1.12617
408015 1.12537
408030 1.12741
408045 1.12825
408060 1.12933
408075 1.13332
408090 1.13238
408105 1.12778
408120 1.12347
408135 1.12316
408150 1.12012
408165 1.12177
408180 1.12254
408195 1.12156
408210 1.11766
408225 1.11836
408240 1.12083
408255 1.12196
408270 1.12661
408285 1.13044
408300 1.13395
408315 1.13642
408330 1.13446
408345 1.13687
408360 1.14096
408375 1.1434
408390 1.1407
408405 1.13955
408420 1.14153
408435 1.1466
408450 1.14752
408465 1.14811
408480 1.14672
408495 1.14485
408510 1.1435
408525 1.14207
408540 1.14548
408555 1.14738
408570 1.15095
408585 1.15106
408600 1.14857
408615 1.14549
408630 1.13952
408645 1.13792
408660 1.14098
408675 1.14044
408690 1.14273
408705 1.14397
408720 1.14689
408735 1.1523
408750 1.15188
408765 1.15595
408780 1.16179
408795 1.16362
408810 1.16964
408825 1.17488
408840 1.1737
408855 1.17183
408870 1.17523
408885 1.173
408900 1.16753
408915 1.16357
408930 1.16221
408945 1.15914
408960 1.15461
408975 1.15857
408990 1.15692
409005 1.15707
409020 1.15564
409035 1.15259
409050 1.15102
409065 1.15109
409080 1.15644
409095 1.15405
409110 1.1554
409125 1.15746
409140 1.16216
409155 1.16909
409170 1.17139
409185 1.17018
409200 1.17497
409215 1.17851
409230 1.18354
409245 1.18956
409260 1.19276
409275 1.20213
409290 1.20756
409305 1.20946
409320 1.20278
409335 1.19622
409350 1.18994
409365 1.18654
409380 1.18892
409395 1.18524
409410 1.18309
409425 1.18432
409440 1.18786
409455 1.18851
409470 1.18461
409485 1.18343
409500 1.17886
409515 1.1789
409530 1.1805
409545 1.18152
409560 1.18631
409575 1.18862
409590 1.1919
409605 1.1926
409620 1.19246
409635 1.19249
409650 1.19624
409665 1.19986
409680 1.20343
409695 1.2015
409710 1.20279
409725 1.20672
409740 1.21305
409755 1.20967
409770 1.20798
409785 1.21115
409800 1.21793
409815 1.22306
409830 1.22689
409845 1.22871
409860 1.22902
409875 1.22781
409890 1.22586
409905 1.22394
409920 1.22418
409935 1.22731
409950 1.23071
409965 1.22572
409980 1.22352
409995 1.22395
410010 1.22418
410025 1.22828
410040 1.23503
410055 1.23999
410070 1.24601
410085 1.24864
410100 1.24848
410115 1.25144
410130 1.25145
410145 1.24866
410160 1.24671
410175 1.24489
410190 1.24098
410205 1.24364
410220 1.24645
410235 1.24995
410250 1.2499
410265 1.24739
410280 1.24656
410295 1.2468
410310 1.24509
410325 1.24659
410340 1.24474
410355 1.24592
410370 1.25164
410385 1.25152
410400 1.24836
410415 1.24706
410430 1.2479
410445 1.25134
410460 1.25585
410475 1.2545
410490 1.25275
410505 1.25094
410520 1.24845
410535 1.2457
410550 1.23879
410565 1.23637
410580 1.23669
410595 1.23758
410610 1.24407
410625 1.24652
410640 1.24877
410655 1.25557
410670 1.25884
410685 1.25817
410700 1.25738
410715 1.26012
410730 1.26023
410745 1.26116
410760 1.26053
410775 1.25841
410790 1.25784
410805 1.25741
410820 1.25831
410835 1.25788
410850 1.25849
410865 1.26356
410880 1.2646
410895 1.26971
410910 1.27582
410925 1.27668
410940 1.27861
410955 1.27888
410970 1.27834
410985 1.27881
411000 1.27519
411015 1.27389
411030 1.27505
411045 1.27633
411060 1.27921
411075 1.28506
411090 1.28733
411105 1.28927
411120 1.28846
411135 1.29012
411150 1.29347
411165 1.29456
411180 1.29137
411195 1.29065
411210 1.28691
411225 1.29006
411240 1.29839
