# Time-averaged data for fix msdDump
# TimeStep c_msdID[4]
435000 0
435015 0.14548
435030 0.328815
435045 0.485663
435060 0.630687
435075 0.75866
435090 0.871023
435105 0.967552
435120 1.05175
435135 1.12764
435150 1.19732
435165 1.25747
435180 1.31612
435195 1.36853
435210 1.41644
435225 1.46155
435240 1.49904
435255 1.53631
435270 1.57525
435285 1.61372
435300 1.65462
435315 1.69194
435330 1.73602
435345 1.77884
435360 1.82361
435375 1.86596
435390 1.90905
435405 1.94844
435420 1.99009
435435 2.02736
435450 2.06942
435465 2.11303
435480 2.15912
435495 2.1999
435510 2.24179
435525 2.28477
435540 2.32757
435555 2.36664
435570 2.40408
435585 2.44902
435600 2.50228
435615 2.55135
435630 2.59263
435645 2.63733
435660 2.68399
435675 2.7336
435690 2.77876
435705 2.82449
435720 2.86496
435735 2.90719
435750 2.94059
435765 2.97585
435780 3.00588
435795 3.04091
435810 3.07885
435825 3.12352
435840 3.17376
435855 3.21915
435870 3.25666
435885 3.29307
435900 3.33071
435915 3.37157
435930 3.40817
435945 3.45769
435960 3.49936
435975 3.53384
435990 3.56736
436005 3.59657
436020 3.63203
436035 3.66952
436050 3.70414
436065 3.74191
436080 3.77981
436095 3.81778
436110 3.85186
436125 3.89195
436140 3.93279
436155 3.9608
436170 3.98622
436185 4.01614
436200 4.04536
436215 4.07191
436230 4.10852
436245 4.1435
436260 4.18607
436275 4.22558
436290 4.26684
436305 4.30511
436320 4.34499
436335 4.37611
436350 4.41227
436365 4.45383
436380 4.48578
436395 4.52237
436410 4.56469
436425 4.61004
436440 4.64671
436455 4.68605
436470 4.72492
436485 4.77049
436500 4.80491
436515 4.83809
436530 4.8824
436545 4.92646
436560 4.97762
436575 5.01704
436590 5.05177
436605 5.07163
436620 5.10432
436635 5.14279
436650 5.17804
436665 5.21365
436680 5.25118
436695 5.28308
436710 5.32148
436725 5.36019
436740 5.39813
436755 5.43585
436770 5.48181
436785 5.52829
436800 5.56174
436815 5.59455
436830 5.62514
436845 5.66135
436860 5.69561
436875 5.73263
436890 5.76311
436905 5.80251
436920 5.84845
436935 5.88979
436950 5.92868
436965 5.96636
436980 5.99181
436995 6.02666
437010 6.06945
437025 6.10386
437040 6.13393
437055 6.16262
437070 6.18654
437085 6.20921
437100 6.2331
437115 6.25521
437130 6.27407
437145 6.30471
437160 6.33154
437175 6.35058
437190 6.38308
437205 6.418
437220 6.45164
437235 6.46836
437250 6.48371
437265 6.5072
437280 6.53296
437295 6.57059
437310 6.61361
437325 6.64864
437340 6.68687
437355 6.72575
437370 6.75921
437385 6.78884
437400 6.81413
437415 6.84726
437430 6.89338
437445 6.94394
437460 6.99318
437475 7.05178
437490 7.10051
437505 7.14271
437520 7.19269
437535 7.23173
437550 7.2573
437565 7.29383
437580 7.33271
437595 7.3738
437610 7.41044
437625 7.44328
437640 7.46783
437655 7.50177
437670 7.5241
437685 7.55507
437700 7.57165
437715 7.6011
437730 7.64658
437745 7.68905
437760 7.73441
437775 7.79373
437790 7.82824
437805 7.85558
437820 7.89657
437835 7.92855
437850 7.97141
437865 8.01275
437880 8.06535
437895 8.12119
437910 8.16682
437925 8.2107
437940 8.26547
437955 8.32081
437970 8.35776
437985 8.38865
438000 8.41242
438015 8.46291
438030 8.49065
438045 8.52745
438060 8.55426
438075 8.59905
438090 8.65776
438105 8.69824
438120 8.72854
438135 8.7648
438150 8.80287
438165 8.8259
438180 8.85378
438195 8.8996
438210 8.93359
438225 8.96633
438240 8.99418
438255 9.02571
438270 9.06548
438285 9.09897
438300 9.14373
438315 9.1823
438330 9.21666
438345 9.25789
438360 9.28116
438375 9.30958
438390 9.35719
438405 9.40725
438420 9.44435
438435 9.48069
438450 9.5194
438465 9.55699
438480 9.61445
438495 9.67062
438510 9.72127
438525 9.75943
438540 9.82186
438555 9.85864
438570 9.9067
438585 9.94898
438600 9.97475
438615 10.0166
438630 10.0405
438645 10.0803
438660 10.1431
438675 10.1931
438690 10.2449
438705 10.2854
438720 10.3358
438735 10.3775
438750 10.4113
438765 10.4525
438780 10.4822
438795 10.5023
438810 10.5144
438825 10.53
438840 10.5576
438855 10.5981
438870 10.6317
438885 10.6636
438900 10.6945
438915 10.7258
438930 10.7464
438945 10.7793
438960 10.7992
438975 10.8122
438990 10.8422
439005 10.8561
439020 10.8823
439035 10.8978
439050 10.9204
439065 10.9653
439080 11.0135
439095 11.0457
439110 11.0878
439125 11.1355
439140 11.1777
439155 11.2102
439170 11.2447
439185 11.2881
439200 11.3222
439215 11.3434
439230 11.3743
439245 11.419
439260 11.4481
439275 11.4754
439290 11.5075
439305 11.5518
439320 11.5953
439335 11.6313
439350 11.6741
439365 11.722
439380 11.7581
439395 11.8034
439410 11.8445
439425 11.8907
439440 11.9157
439455 11.9633
439470 12.0021
439485 12.0424
439500 12.0907
439515 12.125
439530 12.1638
439545 12.1917
439560 12.2163
439575 12.2454
439590 12.27
439605 12.2909
439620 12.3232
439635 12.3507
439650 12.3783
439665 12.4169
439680 12.4454
439695 12.4657
439710 12.5096
439725 12.5282
439740 12.5644
439755 12.5982
439770 12.6432
439785 12.6858
439800 12.7154
439815 12.7549
439830 12.8136
439845 12.8679
439860 12.9132
439875 12.945
439890 12.9788
439905 13.0113
439920 13.0447
439935 13.082
439950 13.1211
439965 13.1655
439980 13.2011
439995 13.2471
440010 13.2831
440025 13.297
440040 13.3348
440055 13.3749
440070 13.4088
440085 13.4537
440100 13.4951
440115 13.536
440130 13.5807
440145 13.6525
440160 13.6988
440175 13.7244
440190 13.7533
440205 13.7851
440220 13.8204
440235 13.8469
440250 13.8803
440265 13.9248
440280 13.9765
440295 14.0158
440310 14.045
440325 14.0574
440340 14.086
440355 14.1372
440370 14.1736
440385 14.2151
440400 14.2455
440415 14.2649
440430 14.2999
440445 14.3349
440460 14.3762
440475 14.4011
440490 14.4229
440505 14.4595
440520 14.5009
440535 14.5424
440550 14.5825
440565 14.6256
440580 14.6595
440595 14.7172
440610 14.7629
440625 14.8063
440640 14.859
440655 14.9155
440670 14.9473
440685 14.9763
440700 15.0088
440715 15.0371
440730 15.0906
440745 15.14
440760 15.179
440775 15.2146
440790 15.2551
440805 15.3019
440820 15.3557
440835 15.4156
440850 15.463
440865 15.5214
440880 15.5813
440895 15.6365
440910 15.7034
440925 15.7478
440940 15.7915
440955 15.8476
440970 15.9002
440985 15.959
441000 16.005
441015 16.0457
441030 16.0945
441045 16.1312
441060 16.1795
441075 16.2168
441090 16.27
441105 16.3282
441120 16.3855
441135 16.4095
441150 16.4195
441165 16.4543
441180 16.4852
441195 16.5014
441210 16.5484
441225 16.5998
441240 16.6541
441255 16.7176
441270 16.7655
441285 16.815
441300 16.8743
441315 16.9279
441330 16.9622
441345 17.0187
441360 17.0825
441375 17.1299
441390 17.1696
441405 17.1958
441420 17.2292
441435 17.282
441450 17.3317
441465 17.3747
441480 17.4117
441495 17.4625
441510 17.5138
441525 17.5907
441540 17.644
441555 17.6828
441570 17.7128
441585 17.748
441600 17.7691
441615 17.7938
441630 17.8216
441645 17.8495
441660 17.8832
441675 17.9041
441690 17.9252
441705 17.9488
441720 17.9637
441735 17.9996
441750 18.0401
441765 18.0742
441780 18.1337
441795 18.1641
441810 18.1985
441825 18.2442
441840 18.2969
441855 18.3177
441870 18.3581
441885 18.4104
441900 18.4472
441915 18.4885
441930 18.5276
441945 18.5746
441960 18.6298
441975 18.7
441990 18.7458
442005 18.7657
442020 18.8024
442035 18.8261
442050 18.8729
442065 18.9106
442080 18.9512
442095 18.9664
442110 18.9898
442125 19.0254
442140 19.0455
442155 19.0743
442170 19.1217
442185 19.1527
442200 19.1905
442215 19.2243
442230 19.246
442245 19.2729
442260 19.2868
442275 19.3065
442290 19.3165
442305 19.3231
442320 19.345
442335 19.3773
442350 19.4151
442365 19.4586
442380 19.4978
442395 19.5054
442410 19.5353
442425 19.5843
442440 19.6177
442455 19.6549
442470 19.6829
442485 19.7304
442500 19.7856
442515 19.8367
442530 19.8956
442545 19.953
442560 20.0051
442575 20.0557
442590 20.0865
442605 20.1401
442620 20.1917
442635 20.2451
442650 20.274
442665 20.3153
442680 20.3488
442695 20.4078
442710 20.4362
442725 20.4824
442740 20.5432
442755 20.5865
442770 20.6285
442785 20.6495
442800 20.6895
442815 20.7077
442830 20.7366
442845 20.7687
442860 20.7981
442875 20.8207
442890 20.8435
442905 20.8678
442920 20.9058
442935 20.9397
442950 20.9902
442965 21.0246
442980 21.066
442995 21.1173
443010 21.1683
443025 21.22
443040 21.25
443055 21.2911
443070 21.3352
443085 21.3869
443100 21.4432
443115 21.4777
443130 21.5173
443145 21.5514
443160 21.5835
443175 21.6209
443190 21.6553
443205 21.7032
443220 21.7293
443235 21.7563
443250 21.7672
443265 21.7895
443280 21.8401
443295 21.8828
443310 21.9264
443325 21.9506
443340 21.9737
443355 22.0228
443370 22.0607
443385 22.1101
443400 22.1654
443415 22.2209
443430 22.2969
443445 22.3258
443460 22.3653
443475 22.4168
443490 22.447
443505 22.475
443520 22.5241
443535 22.5838
443550 22.6538
443565 22.7024
443580 22.7416
443595 22.8007
443610 22.8575
443625 22.8906
443640 22.9007
443655 22.8861
443670 22.8779
443685 22.9251
443700 22.9622
443715 22.9954
443730 23.0101
443745 23.0288
443760 23.0553
443775 23.0933
443790 23.1296
443805 23.1534
443820 23.1781
443835 23.2152
443850 23.2648
443865 23.3062
443880 23.3459
443895 23.3551
443910 23.4007
443925 23.423
443940 23.4611
443955 23.49
443970 23.5345
443985 23.5853
444000 23.6401
444015 23.7022
444030 23.7674
444045 23.8137
444060 23.8444
444075 23.8992
444090 23.9271
444105 23.9418
444120 23.9539
444135 24.0143
444150 24.0484
444165 24.0617
444180 24.0787
444195 24.1086
444210 24.1723
444225 24.2307
444240 24.2681
444255 24.2819
444270 24.3113
444285 24.3639
444300 24.408
444315 24.4277
444330 24.4837
444345 24.5318
444360 24.5498
444375 24.6054
444390 24.6739
444405 24.7288
444420 24.804
444435 24.8832
444450 24.9192
444465 24.95
444480 24.9932
444495 25.0468
444510 25.0983
444525 25.1135
444540 25.1527
444555 25.2078
444570 25.2605
444585 25.3082
444600 25.3447
444615 25.3829
444630 25.4245
444645 25.4649
444660 25.4978
444675 25.5387
444690 25.5559
444705 25.5923
444720 25.6379
444735 25.6642
444750 25.71
444765 25.7499
444780 25.8028
444795 25.846
444810 25.8915
444825 25.907
444840 25.9346
444855 25.9755
444870 25.9995
444885 26.039
444900 26.0629
444915 26.1012
444930 26.1441
444945 26.173
444960 26.232
