# Time-averaged data for fix msdDump
# TimeStep c_msdID[4]
585000 0
585015 0.190572
585030 0.451145
585045 0.69252
585060 0.926561
585075 1.13625
585090 1.33087
585105 1.50785
585120 1.6798
585135 1.84781
585150 2.01291
585165 2.16955
585180 2.3236
585195 2.46846
585210 2.61736
585225 2.75408
585240 2.89022
585255 3.02311
585270 3.15889
585285 3.30107
585300 3.44443
585315 3.57997
585330 3.72022
585345 3.85428
585360 3.99475
585375 4.12659
585390 4.25937
585405 4.40375
585420 4.5455
585435 4.70068
585450 4.84949
585465 4.98988
585480 5.1314
585495 5.27041
585510 5.41334
585525 5.57075
585540 5.71816
585555 5.86631
585570 6.01916
585585 6.16479
585600 6.3012
585615 6.43675
585630 6.57355
585645 6.69708
585660 6.83514
585675 6.97471
585690 7.10272
585705 7.22334
585720 7.37034
585735 7.50542
585750 7.62906
585765 7.74785
585780 7.86994
585795 8.00165
585810 8.13325
585825 8.25994
585840 8.38905
585855 8.527
585870 8.67315
585885 8.82202
585900 8.96015
585915 9.08476
585930 9.21571
585945 9.35792
585960 9.49248
585975 9.63123
585990 9.75188
586005 9.86141
586020 9.96519
586035 10.0757
586050 10.191
586065 10.3196
586080 10.4573
586095 10.5883
586110 10.7219
586125 10.8496
586140 10.964
586155 11.0828
586170 11.2332
586185 11.3725
586200 11.495
586215 11.6132
586230 11.7551
586245 11.9006
586260 12.0399
586275 12.1752
586290 12.3027
586305 12.4326
586320 12.5671
586335 12.6971
586350 12.8341
586365 12.9985
586380 13.1546
586395 13.2945
586410 13.4285
586425 13.5578
586440 13.7057
586455 13.8622
586470 14.0045
586485 14.1364
586500 14.2706
586515 14.4179
586530 14.5458
586545 14.6945
586560 14.833
586575 14.9516
586590 15.0881
586605 15.2274
586620 15.358
586635 15.4965
586650 15.6365
586665 15.7702
586680 15.8984
586695 16.0401
586710 16.1662
586725 16.2975
586740 16.4232
586755 16.5601
586770 16.7097
586785 16.8639
586800 17.0346
586815 17.2113
586830 17.3408
586845 17.4575
586860 17.5684
586875 17.7118
586890 17.8468
586905 18.0035
586920 18.1572
586935 18.2799
586950 18.4202
586965 18.5571
586980 18.6818
586995 18.8094
587010 18.9463
587025 19.0837
587040 19.2351
587055 19.3961
587070 19.5476
587085 19.6856
587100 19.803
587115 19.9371
587130 20.083
587145 20.2143
587160 20.3436
587175 20.483
587190 20.6504
587205 20.8132
587220 20.9588
587235 21.0902
587250 21.2166
587265 21.348
587280 21.4868
587295 21.6198
587310 21.7645
587325 21.9222
587340 22.0649
587355 22.208
587370 22.3504
587385 22.4668
587400 22.6332
587415 22.7857
587430 22.9191
587445 23.0573
587460 23.1791
587475 23.3132
587490 23.4617
587505 23.604
587520 23.7417
587535 23.8817
587550 24.0348
587565 24.1761
587580 24.3111
587595 24.4904
587610 24.6537
587625 24.8132
587640 24.9857
587655 25.1569
587670 25.3442
587685 25.5358
587700 25.6944
587715 25.8644
587730 26.0197
587745 26.1496
587760 26.2845
587775 26.4351
587790 26.5709
587805 26.6858
587820 26.8096
587835 26.9698
587850 27.113
587865 27.2717
587880 27.4151
587895 27.5373
587910 27.683
587925 27.8011
587940 27.9156
587955 28.0095
587970 28.1237
587985 28.253
588000 28.3637
588015 28.5304
588030 28.6626
588045 28.8228
588060 28.9459
588075 29.0687
588090 29.1932
588105 29.34
588120 29.4868
588135 29.6284
588150 29.786
588165 29.9578
588180 30.1136
588195 30.2736
588210 30.3767
588225 30.5139
588240 30.6691
588255 30.7986
588270 30.9343
588285 31.0664
588300 31.1931
588315 31.2945
588330 31.4313
588345 31.5902
588360 31.7354
588375 31.8846
588390 32.0115
588405 32.1546
588420 32.2996
588435 32.4685
588450 32.6015
588465 32.7488
588480 32.915
588495 33.0816
588510 33.2212
588525 33.3755
588540 33.5523
588555 33.7079
588570 33.834
588585 33.9706
588600 34.1367
588615 34.3022
588630 34.4804
588645 34.6601
588660 34.852
588675 35.0407
588690 35.1817
588705 35.3308
588720 35.494
588735 35.6357
588750 35.7981
588765 35.9715
588780 36.1281
588795 36.275
588810 36.3742
588825 36.4899
588840 36.6206
588855 36.7421
588870 36.8792
588885 37.0169
588900 37.1377
588915 37.2756
588930 37.3952
588945 37.5318
588960 37.679
588975 37.8075
588990 37.9495
589005 38.1048
589020 38.2418
589035 38.3698
589050 38.5194
589065 38.6403
589080 38.7564
589095 38.903
589110 39.0919
589125 39.2536
589140 39.3983
589155 39.5112
589170 39.6678
589185 39.817
589200 39.9431
589215 40.0949
589230 40.2598
589245 40.3966
589260 40.5128
589275 40.6565
589290 40.7936
589305 40.9212
589320 41.0705
589335 41.2018
589350 41.3494
589365 41.4906
589380 41.6365
589395 41.7646
589410 41.8845
589425 42.0383
589440 42.2049
589455 42.3555
589470 42.4972
589485 42.644
589500 42.7893
589515 42.9256
589530 43.0726
589545 43.1923
589560 43.3112
589575 43.4202
589590 43.5262
589605 43.6187
589620 43.7457
589635 43.8548
589650 43.9845
589665 44.0999
589680 44.2408
589695 44.4196
589710 44.5631
589725 44.71
589740 44.8405
589755 44.96
589770 45.1081
589785 45.2281
589800 45.3718
589815 45.4951
589830 45.6259
589845 45.7711
589860 45.8972
589875 46.0177
589890 46.1234
589905 46.2403
589920 46.3525
589935 46.4908
589950 46.6257
589965 46.7909
589980 46.9425
589995 47.084
590010 47.2637
590025 47.3924
590040 47.5355
590055 47.7011
590070 47.844
590085 48.0032
590100 48.1233
590115 48.2518
590130 48.4014
590145 48.5454
590160 48.6938
590175 48.8571
590190 48.9887
590205 49.1089
590220 49.2532
590235 49.3923
590250 49.5269
590265 49.6505
590280 49.7693
590295 49.8945
590310 50.028
590325 50.1515
590340 50.3038
590355 50.4232
590370 50.5294
590385 50.6224
590400 50.7502
590415 50.8756
590430 51.004
590445 51.1445
590460 51.2751
590475 51.4058
590490 51.5531
590505 51.7229
590520 51.8526
590535 51.9744
590550 52.1112
590565 52.2404
590580 52.3669
590595 52.5123
590610 52.629
590625 52.7651
590640 52.8458
590655 52.9414
590670 53.0227
590685 53.1096
590700 53.205
590715 53.3103
590730 53.423
590745 53.5254
590760 53.6699
590775 53.8048
590790 53.9501
