LAMMPS Description

     5184  atoms
     0  bonds
     0  angles
     0  dihedrals
     0  impropers

     2  atom types

  0.0 42.72 xlo xhi
  0.0 42.72 ylo yhi
  0.0 42.72 zlo zhi

Masses

    1 28.0855
    2  15.9994

Atoms # atomic

167 2 6.23 13.35 0.89
168 2 6.23 8.01 6.23
169 1 0.0 7.12 7.12
170 1 0.0 10.68 10.68
171 1 1.78 8.9 8.9
172 1 3.56 7.12 10.68
173 1 1.78 12.46 12.46
174 1 5.34 12.46 8.9
175 1 3.56 10.68 7.12
176 1 5.34 8.9 12.46
177 2 0.89 8.01 8.01
178 2 6.23 11.57 9.79
179 2 2.67 9.79 8.01
180 2 4.45 8.01 11.57
181 2 0.89 11.57 11.57
182 2 4.45 11.57 8.01
183 2 2.67 13.35 11.57
184 2 2.67 8.01 9.79
185 2 4.45 9.79 13.35
186 2 6.23 9.79 11.57
187 2 2.67 11.57 13.35
188 2 0.89 13.35 13.35
189 2 0.89 9.79 9.79
190 2 4.45 13.35 9.79
191 2 6.23 13.35 8.01
192 2 6.23 8.01 13.35
193 1 0.0 7.12 14.24
194 1 0.0 10.68 17.8
195 1 1.78 8.9 16.02
196 1 3.56 7.12 17.8
197 1 1.78 12.46 19.58
198 1 5.34 12.46 16.02
199 1 3.56 10.68 14.24
200 1 5.34 8.9 19.58
201 2 0.89 8.01 15.13
202 2 6.23 11.57 16.91
203 2 2.67 9.79 15.13
204 2 4.45 8.01 18.69
205 2 0.89 11.57 18.69
206 2 4.45 11.57 15.13
207 2 2.67 13.35 18.69
208 2 2.67 8.01 16.91
209 2 4.45 9.79 20.47
210 2 6.23 9.79 18.69
211 2 2.67 11.57 20.47
212 2 0.89 13.35 20.47
213 2 0.89 9.79 16.91
214 2 4.45 13.35 16.91
215 2 6.23 13.35 15.13
216 2 6.23 8.01 20.47
217 1 0.0 7.12 21.36
218 1 0.0 10.68 24.92
219 1 1.78 8.9 23.14
220 1 3.56 7.12 24.92
221 1 1.78 12.46 26.7
222 1 5.34 12.46 23.14
223 1 3.56 10.68 21.36
224 1 5.34 8.9 26.7
225 2 0.89 8.01 22.25
226 2 6.23 11.57 24.03
227 2 2.67 9.79 22.25
228 2 4.45 8.01 25.81
229 2 0.89 11.57 25.81
230 2 4.45 11.57 22.25
231 2 2.67 13.35 25.81
232 2 2.67 8.01 24.03
233 2 4.45 9.79 27.59
234 2 6.23 9.79 25.81
235 2 2.67 11.57 27.59
236 2 0.89 13.35 27.59
237 2 0.89 9.79 24.03
238 2 4.45 13.35 24.03
239 2 6.23 13.35 22.25
240 2 6.23 8.01 27.59
241 1 0.0 7.12 28.48
242 1 0.0 10.68 32.04
243 1 1.78 8.9 30.26
244 1 3.56 7.12 32.04
245 1 1.78 12.46 33.82
246 1 5.34 12.46 30.26
247 1 3.56 10.68 28.48
248 1 5.34 8.9 33.82
249 2 0.89 8.01 29.37
250 2 6.23 11.57 31.15
251 2 2.67 9.79 29.37
252 2 4.45 8.01 32.93
253 2 0.89 11.57 32.93
254 2 4.45 11.57 29.37
255 2 2.67 13.35 32.93
256 2 2.67 8.01 31.15
257 2 4.45 9.79 34.71
258 2 6.23 9.79 32.93
